task,metric,tfidf_baseline,llm,delta
components,micro_f1,0.6725,0.5761,-0.0964
components,macro_f1,0.6445,0.541,-0.1035
components,hamming,0.0546,0.0807,0.0261
components,coverage,0.931,0.8983,-0.0327
components,hit_at_5,0.9667,0.9633,-0.0034
components,recall_at_5,0.9606,0.8975,-0.0631
impact,micro_f1,0.6126,0.4493,-0.1633
impact,macro_f1,0.5885,0.506,-0.0825
impact,hamming,0.0735,0.1692,0.0957
impact,coverage,0.3346,0.7413,0.4067
impact,hit_at_5,0.3407,1.0,0.6593
impact,recall_at_5,1.0,1.0,0.0
issue_type,micro_f1,0.7721,0.8227,0.0506
issue_type,macro_f1,0.333,0.2769,-0.0561
issue_type,hamming,0.1058,0.0847,-0.0211
issue_type,coverage,0.9035,1.0,0.0965
issue_type,hit_at_5,0.9109,,
issue_type,recall_at_5,1.0,,
platform,micro_f1,0.6781,0.3163,-0.3618
platform,macro_f1,0.6819,0.5023,-0.1796
platform,hamming,0.0236,0.1526,0.129
platform,coverage,0.182,0.9005,0.7185
platform,hit_at_5,0.1773,1.0,0.8227
platform,recall_at_5,1.0,1.0,0.0
